ap     rec    prec   f-measure
0.7037 0.0450 0.8625 0.0855
0.7037 0.0453 0.8634 0.0861
0.7037 0.0456 0.8642 0.0867
0.7037 0.0460 0.8650 0.0873
0.7037 0.0463 0.8659 0.0879
0.7037 0.0466 0.8667 0.0885
0.7037 0.0469 0.8675 0.0891
0.7037 0.0473 0.8683 0.0896
0.7037 0.0473 0.8631 0.0896
0.7037 0.0476 0.8639 0.0902
0.7037 0.0479 0.8647 0.0908
0.7037 0.0482 0.8655 0.0914
0.7037 0.0482 0.8605 0.0914
0.7037 0.0486 0.8613 0.0919
0.7037 0.0489 0.8621 0.0925
0.7037 0.0492 0.8629 0.0931
0.7037 0.0495 0.8636 0.0937
0.7037 0.0499 0.8644 0.0943
0.7037 0.0502 0.8652 0.0949
0.7037 0.0505 0.8659 0.0955
0.7037 0.0508 0.8667 0.0961
0.7037 0.0512 0.8674 0.0966
0.7037 0.0515 0.8681 0.0972
0.7037 0.0518 0.8689 0.0978
0.7037 0.0522 0.8696 0.0984
0.7037 0.0525 0.8703 0.0990
0.7037 0.0528 0.8710 0.0996
0.7037 0.0531 0.8717 0.1002
0.7037 0.0535 0.8723 0.1007
0.7037 0.0538 0.8730 0.1013
0.7037 0.0541 0.8737 0.1019
0.7037 0.0544 0.8743 0.1025
0.7037 0.0548 0.8750 0.1031
0.7037 0.0551 0.8756 0.1036
0.7037 0.0551 0.8711 0.1036
0.7037 0.0554 0.8718 0.1042
0.7037 0.0557 0.8724 0.1048
0.7037 0.0561 0.8731 0.1054
0.7037 0.0564 0.8737 0.1059
0.7037 0.0567 0.8744 0.1065
0.7037 0.0570 0.8750 0.1071
0.7037 0.0574 0.8756 0.1077
0.7037 0.0577 0.8762 0.1083
0.7037 0.0580 0.8768 0.1088
0.7037 0.0583 0.8775 0.1094
0.7037 0.0587 0.8780 0.1100
0.7037 0.0590 0.8786 0.1106
0.7037 0.0593 0.8792 0.1111
0.7037 0.0596 0.8798 0.1117
0.7037 0.0600 0.8804 0.1123
0.7037 0.0603 0.8810 0.1129
0.7037 0.0606 0.8815 0.1134
0.7037 0.0610 0.8821 0.1140
0.7037 0.0613 0.8826 0.1146
0.7037 0.0616 0.8832 0.1152
0.7037 0.0619 0.8837 0.1157
0.7037 0.0623 0.8843 0.1163
0.7037 0.0626 0.8848 0.1169
0.7037 0.0629 0.8853 0.1175
0.7037 0.0632 0.8858 0.1180
0.7037 0.0636 0.8864 0.1186
0.7037 0.0639 0.8869 0.1192
0.7037 0.0642 0.8874 0.1198
0.7037 0.0645 0.8879 0.1203
0.7037 0.0649 0.8884 0.1209
0.7037 0.0652 0.8889 0.1215
