ap     rec    prec   f-measure
0.7037 0.2047 0.9010 0.3336
0.7037 0.2050 0.9011 0.3340
0.7037 0.2053 0.9013 0.3345
0.7037 0.2057 0.9014 0.3349
0.7037 0.2060 0.9016 0.3354
0.7037 0.2063 0.9017 0.3358
0.7037 0.2066 0.9018 0.3363
0.7037 0.2070 0.9020 0.3367
0.7037 0.2073 0.9021 0.3371
0.7037 0.2076 0.9023 0.3376
0.7037 0.2080 0.9024 0.3380
0.7037 0.2083 0.9025 0.3385
0.7037 0.2086 0.9027 0.3389
0.7037 0.2086 0.9014 0.3388
0.7037 0.2089 0.9015 0.3392
0.7037 0.2093 0.9017 0.3397
0.7037 0.2093 0.9004 0.3396
0.7037 0.2096 0.9006 0.3400
0.7037 0.2099 0.9007 0.3405
0.7037 0.2102 0.9008 0.3409
0.7037 0.2106 0.9010 0.3413
0.7037 0.2106 0.8997 0.3413
0.7037 0.2109 0.8999 0.3417
0.7037 0.2112 0.9000 0.3421
0.7037 0.2115 0.9001 0.3426
0.7037 0.2119 0.9003 0.3430
0.7037 0.2122 0.9004 0.3434
0.7037 0.2125 0.9006 0.3439
0.7037 0.2128 0.9007 0.3443
0.7037 0.2132 0.9008 0.3448
0.7037 0.2135 0.9010 0.3452
0.7037 0.2138 0.9011 0.3456
0.7037 0.2141 0.9012 0.3461
0.7037 0.2145 0.9014 0.3465
0.7037 0.2148 0.9015 0.3469
0.7037 0.2148 0.9003 0.3468
0.7037 0.2151 0.9004 0.3473
0.7037 0.2154 0.9005 0.3477
0.7037 0.2158 0.9007 0.3481
0.7037 0.2161 0.9008 0.3486
0.7037 0.2164 0.9009 0.3490
0.7037 0.2168 0.9011 0.3494
0.7037 0.2171 0.9012 0.3499
0.7037 0.2174 0.9014 0.3503
0.7037 0.2177 0.9015 0.3507
0.7037 0.2181 0.9016 0.3512
0.7037 0.2184 0.9017 0.3516
0.7037 0.2187 0.9019 0.3520
0.7037 0.2187 0.9007 0.3520
0.7037 0.2190 0.9008 0.3524
0.7037 0.2194 0.9009 0.3528
0.7037 0.2197 0.9011 0.3532
0.7037 0.2200 0.9012 0.3537
0.7037 0.2203 0.9013 0.3541
0.7037 0.2207 0.9015 0.3545
0.7037 0.2210 0.9016 0.3550
0.7037 0.2213 0.9017 0.3554
0.7037 0.2216 0.9019 0.3558
0.7037 0.2220 0.9020 0.3563
0.7037 0.2223 0.9021 0.3567
0.7037 0.2226 0.9022 0.3571
0.7037 0.2229 0.9024 0.3576
0.7037 0.2233 0.9025 0.3580
0.7037 0.2236 0.9026 0.3584
0.7037 0.2239 0.9028 0.3588
0.7037 0.2243 0.9029 0.3593
0.7037 0.2246 0.9030 0.3597
0.7037 0.2249 0.9031 0.3601
0.7037 0.2252 0.9033 0.3606
0.7037 0.2256 0.9034 0.3610
0.7037 0.2259 0.9035 0.3614
0.7037 0.2262 0.9036 0.3618
0.7037 0.2265 0.9038 0.3623
0.7037 0.2269 0.9039 0.3627
0.7037 0.2272 0.9040 0.3631
0.7037 0.2275 0.9041 0.3635
0.7037 0.2278 0.9043 0.3640
0.7037 0.2282 0.9044 0.3644
0.7037 0.2285 0.9045 0.3648
0.7037 0.2288 0.9046 0.3652
0.7037 0.2291 0.9048 0.3657
0.7037 0.2295 0.9049 0.3661
0.7037 0.2298 0.9050 0.3665
0.7037 0.2301 0.9051 0.3669
0.7037 0.2304 0.9052 0.3674
0.7037 0.2308 0.9054 0.3678
0.7037 0.2311 0.9055 0.3682
0.7037 0.2314 0.9056 0.3686
0.7037 0.2317 0.9057 0.3691
0.7037 0.2321 0.9059 0.3695
0.7037 0.2324 0.9060 0.3699
0.7037 0.2327 0.9061 0.3703
0.7037 0.2331 0.9062 0.3708
0.7037 0.2334 0.9063 0.3712
0.7037 0.2337 0.9064 0.3716
0.7037 0.2340 0.9066 0.3720
0.7037 0.2344 0.9067 0.3724
0.7037 0.2347 0.9068 0.3729
0.7037 0.2347 0.9057 0.3728
0.7037 0.2350 0.9058 0.3732
0.7037 0.2353 0.9059 0.3736
0.7037 0.2357 0.9060 0.3740
0.7037 0.2360 0.9061 0.3745
0.7037 0.2363 0.9062 0.3749
0.7037 0.2366 0.9064 0.3753
0.7037 0.2366 0.9052 0.3752
0.7037 0.2370 0.9054 0.3756
0.7037 0.2373 0.9055 0.3760
0.7037 0.2376 0.9056 0.3765
0.7037 0.2379 0.9057 0.3769
0.7037 0.2383 0.9058 0.3773
0.7037 0.2386 0.9059 0.3777
0.7037 0.2389 0.9061 0.3781
0.7037 0.2389 0.9049 0.3780
0.7037 0.2392 0.9051 0.3784
0.7037 0.2396 0.9052 0.3789
0.7037 0.2399 0.9053 0.3793
0.7037 0.2402 0.9054 0.3797
0.7037 0.2405 0.9055 0.3801
0.7037 0.2409 0.9056 0.3805
0.7037 0.2412 0.9058 0.3810
0.7037 0.2415 0.9059 0.3814
0.7037 0.2419 0.9060 0.3818
0.7037 0.2419 0.9049 0.3817
0.7037 0.2422 0.9050 0.3821
0.7037 0.2425 0.9051 0.3825
0.7037 0.2428 0.9052 0.3829
0.7037 0.2432 0.9053 0.3834
0.7037 0.2432 0.9042 0.3833
0.7037 0.2435 0.9044 0.3837
0.7037 0.2438 0.9045 0.3841
0.7037 0.2441 0.9046 0.3845
0.7037 0.2445 0.9047 0.3849
0.7037 0.2448 0.9048 0.3853
0.7037 0.2451 0.9049 0.3857
0.7037 0.2454 0.9050 0.3862
0.7037 0.2458 0.9052 0.3866
0.7037 0.2461 0.9053 0.3870
0.7037 0.2464 0.9054 0.3874
0.7037 0.2467 0.9055 0.3878
0.7037 0.2471 0.9056 0.3882
0.7037 0.2474 0.9057 0.3886
0.7037 0.2477 0.9058 0.3890
0.7037 0.2477 0.9048 0.3889
0.7037 0.2480 0.9049 0.3894
0.7037 0.2484 0.9050 0.3898
0.7037 0.2484 0.9039 0.3897
0.7037 0.2487 0.9040 0.3901
0.7037 0.2490 0.9041 0.3905
0.7037 0.2493 0.9043 0.3909
0.7037 0.2493 0.9032 0.3908
0.7037 0.2493 0.9021 0.3907
0.7037 0.2497 0.9022 0.3911
0.7037 0.2500 0.9024 0.3915
0.7037 0.2503 0.9025 0.3919
0.7037 0.2507 0.9026 0.3923
0.7037 0.2510 0.9027 0.3928
0.7037 0.2513 0.9028 0.3932
0.7037 0.2516 0.9029 0.3936
0.7037 0.2520 0.9030 0.3940
0.7037 0.2523 0.9032 0.3944
0.7037 0.2526 0.9033 0.3948
0.7037 0.2529 0.9034 0.3952
0.7037 0.2529 0.9023 0.3951
0.7037 0.2533 0.9024 0.3955
0.7037 0.2536 0.9026 0.3959
0.7037 0.2539 0.9027 0.3963
0.7037 0.2542 0.9028 0.3967
0.7037 0.2546 0.9029 0.3972
0.7037 0.2549 0.9030 0.3976
0.7037 0.2552 0.9031 0.3980
0.7037 0.2555 0.9032 0.3984
0.7037 0.2555 0.9022 0.3983
0.7037 0.2559 0.9023 0.3987
0.7037 0.2562 0.9024 0.3991
0.7037 0.2565 0.9025 0.3995
0.7037 0.2568 0.9026 0.3999
0.7037 0.2572 0.9027 0.4003
0.7037 0.2575 0.9029 0.4007
0.7037 0.2578 0.9030 0.4011
0.7037 0.2581 0.9031 0.4015
0.7037 0.2585 0.9032 0.4019
0.7037 0.2588 0.9033 0.4023
0.7037 0.2591 0.9034 0.4027
0.7037 0.2595 0.9035 0.4031
0.7037 0.2598 0.9036 0.4035
0.7037 0.2601 0.9037 0.4039
0.7037 0.2604 0.9038 0.4044
0.7037 0.2608 0.9040 0.4048
0.7037 0.2611 0.9041 0.4052
0.7037 0.2614 0.9042 0.4056
0.7037 0.2614 0.9032 0.4055
0.7037 0.2617 0.9033 0.4059
0.7037 0.2621 0.9034 0.4063
0.7037 0.2624 0.9035 0.4067
0.7037 0.2624 0.9025 0.4066
0.7037 0.2627 0.9026 0.4070
0.7037 0.2627 0.9016 0.4069
0.7037 0.2630 0.9017 0.4073
0.7037 0.2634 0.9018 0.4077
0.7037 0.2637 0.9019 0.4081
0.7037 0.2640 0.9020 0.4085
0.7037 0.2643 0.9021 0.4089
0.7037 0.2643 0.9011 0.4088
0.7037 0.2647 0.9012 0.4092
0.7037 0.2650 0.9013 0.4096
0.7037 0.2650 0.9003 0.4095
0.7037 0.2653 0.9004 0.4099
0.7037 0.2656 0.9006 0.4103
0.7037 0.2656 0.8996 0.4102
0.7037 0.2656 0.8986 0.4101
0.7037 0.2660 0.8987 0.4105
0.7037 0.2663 0.8988 0.4109
0.7037 0.2666 0.8989 0.4113
0.7037 0.2669 0.8990 0.4117
0.7037 0.2673 0.8991 0.4121
0.7037 0.2676 0.8992 0.4125
0.7037 0.2679 0.8993 0.4129
0.7037 0.2683 0.8995 0.4133
0.7037 0.2686 0.8996 0.4137
0.7037 0.2689 0.8997 0.4141
0.7037 0.2692 0.8998 0.4145
0.7037 0.2692 0.8988 0.4143
0.7037 0.2696 0.8989 0.4147
0.7037 0.2699 0.8990 0.4151
0.7037 0.2702 0.8991 0.4155
0.7037 0.2702 0.8982 0.4154
0.7037 0.2702 0.8972 0.4153
0.7037 0.2702 0.8962 0.4152
0.7037 0.2705 0.8963 0.4156
0.7037 0.2709 0.8964 0.4160
0.7037 0.2712 0.8966 0.4164
0.7037 0.2715 0.8967 0.4168
0.7037 0.2718 0.8968 0.4172
0.7037 0.2722 0.8969 0.4176
0.7037 0.2725 0.8970 0.4180
0.7037 0.2728 0.8971 0.4184
0.7037 0.2731 0.8972 0.4188
0.7037 0.2735 0.8973 0.4192
0.7037 0.2735 0.8964 0.4191
0.7037 0.2738 0.8965 0.4195
0.7037 0.2741 0.8966 0.4199
0.7037 0.2744 0.8967 0.4203
0.7037 0.2748 0.8968 0.4207
0.7037 0.2751 0.8969 0.4211
0.7037 0.2751 0.8960 0.4209
0.7037 0.2751 0.8950 0.4208
0.7037 0.2754 0.8951 0.4212
0.7037 0.2757 0.8952 0.4216
0.7037 0.2761 0.8953 0.4220
0.7037 0.2764 0.8955 0.4224
0.7037 0.2767 0.8956 0.4228
0.7037 0.2771 0.8957 0.4232
0.7037 0.2774 0.8958 0.4236
0.7037 0.2777 0.8959 0.4240
0.7037 0.2780 0.8960 0.4244
0.7037 0.2784 0.8961 0.4248
0.7037 0.2787 0.8962 0.4252
0.7037 0.2790 0.8963 0.4256
0.7037 0.2793 0.8964 0.4259
0.7037 0.2797 0.8966 0.4263
0.7037 0.2800 0.8967 0.4267
0.7037 0.2803 0.8968 0.4271
0.7037 0.2806 0.8969 0.4275
0.7037 0.2810 0.8970 0.4279
0.7037 0.2813 0.8971 0.4283
0.7037 0.2816 0.8972 0.4287
0.7037 0.2819 0.8973 0.4291
0.7037 0.2823 0.8974 0.4295
0.7037 0.2826 0.8975 0.4298
0.7037 0.2826 0.8966 0.4297
0.7037 0.2829 0.8967 0.4301
0.7037 0.2832 0.8968 0.4305
0.7037 0.2836 0.8969 0.4309
0.7037 0.2839 0.8970 0.4313
0.7037 0.2842 0.8971 0.4317
0.7037 0.2846 0.8972 0.4321
0.7037 0.2849 0.8973 0.4325
0.7037 0.2852 0.8974 0.4328
0.7037 0.2855 0.8975 0.4332
0.7037 0.2859 0.8976 0.4336
0.7037 0.2862 0.8978 0.4340
0.7037 0.2865 0.8979 0.4344
0.7037 0.2868 0.8980 0.4348
0.7037 0.2872 0.8981 0.4352
0.7037 0.2875 0.8982 0.4356
0.7037 0.2875 0.8973 0.4354
0.7037 0.2875 0.8963 0.4353
0.7037 0.2878 0.8964 0.4357
0.7037 0.2881 0.8966 0.4361
0.7037 0.2885 0.8967 0.4365
0.7037 0.2888 0.8968 0.4369
0.7037 0.2891 0.8969 0.4373
0.7037 0.2894 0.8970 0.4377
0.7037 0.2894 0.8961 0.4375
0.7037 0.2898 0.8962 0.4379
0.7037 0.2901 0.8963 0.4383
0.7037 0.2904 0.8964 0.4387
0.7037 0.2907 0.8965 0.4391
0.7037 0.2911 0.8966 0.4395
0.7037 0.2914 0.8967 0.4399
0.7037 0.2917 0.8968 0.4402
0.7037 0.2920 0.8969 0.4406
0.7037 0.2924 0.8970 0.4410
0.7037 0.2927 0.8971 0.4414
0.7037 0.2930 0.8972 0.4418
0.7037 0.2934 0.8973 0.4422
0.7037 0.2937 0.8974 0.4425
0.7037 0.2940 0.8975 0.4429
0.7037 0.2943 0.8976 0.4433
0.7037 0.2947 0.8977 0.4437
0.7037 0.2947 0.8968 0.4436
0.7037 0.2950 0.8969 0.4440
0.7037 0.2950 0.8960 0.4438
0.7037 0.2953 0.8961 0.4442
0.7037 0.2953 0.8953 0.4441
0.7037 0.2956 0.8954 0.4445
0.7037 0.2960 0.8955 0.4449
0.7037 0.2963 0.8956 0.4453
0.7037 0.2963 0.8947 0.4452
0.7037 0.2963 0.8938 0.4450
0.7037 0.2966 0.8939 0.4454
0.7037 0.2969 0.8940 0.4458
0.7037 0.2973 0.8941 0.4462
0.7037 0.2976 0.8942 0.4466
0.7037 0.2979 0.8943 0.4469
0.7037 0.2982 0.8944 0.4473
0.7037 0.2986 0.8945 0.4477
0.7037 0.2989 0.8946 0.4481
0.7037 0.2992 0.8947 0.4485
0.7037 0.2995 0.8948 0.4488
0.7037 0.2999 0.8949 0.4492
0.7037 0.3002 0.8950 0.4496
0.7037 0.3005 0.8951 0.4500
0.7037 0.3008 0.8952 0.4504
0.7037 0.3012 0.8953 0.4507
0.7037 0.3015 0.8955 0.4511
0.7037 0.3018 0.8956 0.4515
0.7037 0.3022 0.8957 0.4519
0.7037 0.3025 0.8958 0.4522
0.7037 0.3025 0.8949 0.4521
0.7037 0.3028 0.8950 0.4525
0.7037 0.3031 0.8951 0.4529
0.7037 0.3035 0.8952 0.4533
0.7037 0.3038 0.8953 0.4536
0.7037 0.3041 0.8954 0.4540
0.7037 0.3044 0.8955 0.4544
0.7037 0.3048 0.8956 0.4548
0.7037 0.3051 0.8957 0.4551
0.7037 0.3054 0.8958 0.4555
0.7037 0.3057 0.8959 0.4559
0.7037 0.3061 0.8960 0.4563
0.7037 0.3064 0.8961 0.4566
0.7037 0.3067 0.8962 0.4570
0.7037 0.3070 0.8963 0.4574
0.7037 0.3074 0.8964 0.4578
0.7037 0.3077 0.8965 0.4581
0.7037 0.3080 0.8966 0.4585
0.7037 0.3083 0.8967 0.4589
0.7037 0.3083 0.8958 0.4588
0.7037 0.3087 0.8959 0.4592
0.7037 0.3090 0.8960 0.4595
0.7037 0.3093 0.8961 0.4599
0.7037 0.3096 0.8962 0.4603
0.7037 0.3100 0.8963 0.4606
0.7037 0.3103 0.8964 0.4610
0.7037 0.3106 0.8965 0.4614
0.7037 0.3110 0.8966 0.4618
0.7037 0.3113 0.8967 0.4621
0.7037 0.3116 0.8968 0.4625
0.7037 0.3119 0.8969 0.4629
0.7037 0.3123 0.8970 0.4632
0.7037 0.3126 0.8971 0.4636
0.7037 0.3129 0.8972 0.4640
0.7037 0.3132 0.8973 0.4644
0.7037 0.3136 0.8974 0.4647
0.7037 0.3139 0.8975 0.4651
0.7037 0.3142 0.8976 0.4655
0.7037 0.3145 0.8977 0.4658
0.7037 0.3149 0.8978 0.4662
0.7037 0.3152 0.8979 0.4666
0.7037 0.3155 0.8980 0.4670
0.7037 0.3158 0.8981 0.4673
0.7037 0.3162 0.8981 0.4677
0.7037 0.3165 0.8982 0.4681
0.7037 0.3168 0.8983 0.4684
0.7037 0.3171 0.8984 0.4688
0.7037 0.3175 0.8985 0.4692
0.7037 0.3178 0.8986 0.4695
0.7037 0.3181 0.8987 0.4699
0.7037 0.3184 0.8988 0.4703
0.7037 0.3188 0.8989 0.4706
0.7037 0.3191 0.8990 0.4710
0.7037 0.3194 0.8991 0.4714
0.7037 0.3198 0.8992 0.4717
0.7037 0.3198 0.8984 0.4716
0.7037 0.3198 0.8975 0.4715
0.7037 0.3198 0.8967 0.4714
0.7037 0.3201 0.8968 0.4718
0.7037 0.3204 0.8969 0.4721
0.7037 0.3207 0.8970 0.4725
0.7037 0.3211 0.8971 0.4729
0.7037 0.3211 0.8963 0.4728
0.7037 0.3214 0.8964 0.4731
0.7037 0.3217 0.8965 0.4735
0.7037 0.3220 0.8966 0.4739
0.7037 0.3224 0.8966 0.4742
0.7037 0.3227 0.8967 0.4746
0.7037 0.3230 0.8968 0.4750
0.7037 0.3233 0.8969 0.4753
0.7037 0.3237 0.8970 0.4757
0.7037 0.3240 0.8971 0.4761
0.7037 0.3243 0.8972 0.4764
0.7037 0.3246 0.8973 0.4768
0.7037 0.3250 0.8974 0.4771
0.7037 0.3253 0.8975 0.4775
0.7037 0.3256 0.8976 0.4779
0.7037 0.3259 0.8977 0.4782
0.7037 0.3263 0.8978 0.4786
0.7037 0.3266 0.8978 0.4790
0.7037 0.3269 0.8979 0.4793
0.7037 0.3272 0.8980 0.4797
0.7037 0.3276 0.8981 0.4801
0.7037 0.3276 0.8973 0.4799
0.7037 0.3276 0.8965 0.4798
0.7037 0.3279 0.8966 0.4802
0.7037 0.3282 0.8967 0.4806
0.7037 0.3286 0.8968 0.4809
0.7037 0.3289 0.8969 0.4813
0.7037 0.3292 0.8970 0.4816
0.7037 0.3292 0.8962 0.4815
0.7037 0.3295 0.8963 0.4819
0.7037 0.3299 0.8964 0.4822
0.7037 0.3302 0.8965 0.4826
0.7037 0.3305 0.8966 0.4830
0.7037 0.3308 0.8966 0.4833
0.7037 0.3312 0.8967 0.4837
0.7037 0.3315 0.8968 0.4841
0.7037 0.3318 0.8969 0.4844
0.7037 0.3321 0.8970 0.4848
0.7037 0.3325 0.8971 0.4851
0.7037 0.3328 0.8972 0.4855
0.7037 0.3331 0.8973 0.4859
0.7037 0.3334 0.8974 0.4862
0.7037 0.3338 0.8975 0.4866
0.7037 0.3341 0.8975 0.4869
0.7037 0.3344 0.8976 0.4873
0.7037 0.3347 0.8977 0.4877
0.7037 0.3351 0.8978 0.4880
0.7037 0.3354 0.8979 0.4884
0.7037 0.3357 0.8980 0.4887
0.7037 0.3360 0.8981 0.4891
0.7037 0.3360 0.8973 0.4890
0.7037 0.3364 0.8974 0.4893
0.7037 0.3367 0.8975 0.4897
0.7037 0.3370 0.8976 0.4900
0.7037 0.3370 0.8968 0.4899
0.7037 0.3374 0.8969 0.4903
0.7037 0.3377 0.8970 0.4906
0.7037 0.3380 0.8971 0.4910
0.7037 0.3383 0.8971 0.4914
0.7037 0.3387 0.8972 0.4917
0.7037 0.3390 0.8973 0.4921
0.7037 0.3393 0.8974 0.4924
0.7037 0.3393 0.8966 0.4923
0.7037 0.3396 0.8967 0.4927
0.7037 0.3396 0.8960 0.4926
0.7037 0.3400 0.8960 0.4929
0.7037 0.3403 0.8961 0.4933
0.7037 0.3406 0.8962 0.4936
0.7037 0.3409 0.8963 0.4940
0.7037 0.3413 0.8964 0.4943
0.7037 0.3413 0.8956 0.4942
0.7037 0.3416 0.8957 0.4946
0.7037 0.3419 0.8958 0.4949
0.7037 0.3422 0.8959 0.4953
0.7037 0.3426 0.8960 0.4956
0.7037 0.3429 0.8961 0.4960
0.7037 0.3432 0.8962 0.4963
0.7037 0.3435 0.8963 0.4967
0.7037 0.3435 0.8955 0.4966
0.7037 0.3439 0.8956 0.4969
0.7037 0.3442 0.8957 0.4973
0.7037 0.3442 0.8949 0.4972
0.7037 0.3445 0.8950 0.4975
0.7037 0.3449 0.8951 0.4979
0.7037 0.3452 0.8952 0.4982
0.7037 0.3455 0.8953 0.4986
0.7037 0.3458 0.8954 0.4989
0.7037 0.3458 0.8946 0.4988
0.7037 0.3462 0.8947 0.4992
0.7037 0.3465 0.8948 0.4995
0.7037 0.3468 0.8949 0.4999
0.7037 0.3471 0.8950 0.5002
0.7037 0.3475 0.8950 0.5006
0.7037 0.3478 0.8951 0.5009
0.7037 0.3481 0.8952 0.5013
0.7037 0.3484 0.8953 0.5016
0.7037 0.3488 0.8954 0.5020
0.7037 0.3491 0.8955 0.5023
0.7037 0.3494 0.8956 0.5027
0.7037 0.3497 0.8957 0.5030
0.7037 0.3501 0.8957 0.5034
0.7037 0.3504 0.8958 0.5037
0.7037 0.3507 0.8959 0.5041
0.7037 0.3510 0.8960 0.5044
0.7037 0.3514 0.8961 0.5048
0.7037 0.3517 0.8962 0.5051
0.7037 0.3520 0.8963 0.5055
0.7037 0.3523 0.8964 0.5058
0.7037 0.3527 0.8964 0.5062
0.7037 0.3530 0.8965 0.5065
0.7037 0.3533 0.8966 0.5069
0.7037 0.3537 0.8967 0.5072
0.7037 0.3540 0.8968 0.5076
0.7037 0.3543 0.8969 0.5079
0.7037 0.3546 0.8969 0.5083
0.7037 0.3550 0.8970 0.5086
0.7037 0.3553 0.8971 0.5090
0.7037 0.3556 0.8972 0.5093
0.7037 0.3559 0.8973 0.5097
0.7037 0.3559 0.8966 0.5096
0.7037 0.3563 0.8966 0.5099
0.7037 0.3566 0.8967 0.5103
0.7037 0.3569 0.8968 0.5106
0.7037 0.3572 0.8969 0.5110
0.7037 0.3576 0.8970 0.5113
0.7037 0.3579 0.8971 0.5116
0.7037 0.3582 0.8971 0.5120
0.7037 0.3585 0.8972 0.5123
0.7037 0.3589 0.8973 0.5127
0.7037 0.3589 0.8966 0.5126
0.7037 0.3592 0.8967 0.5129
0.7037 0.3595 0.8967 0.5133
0.7037 0.3598 0.8968 0.5136
0.7037 0.3602 0.8969 0.5140
0.7037 0.3605 0.8970 0.5143
0.7037 0.3608 0.8971 0.5146
0.7037 0.3611 0.8972 0.5150
0.7037 0.3615 0.8972 0.5153
0.7037 0.3618 0.8973 0.5157
0.7037 0.3621 0.8974 0.5160
0.7037 0.3625 0.8975 0.5164
0.7037 0.3628 0.8976 0.5167
0.7037 0.3631 0.8977 0.5171
0.7037 0.3634 0.8977 0.5174
0.7037 0.3638 0.8978 0.5177
0.7037 0.3638 0.8971 0.5176
0.7037 0.3638 0.8964 0.5175
0.7037 0.3641 0.8965 0.5178
0.7037 0.3644 0.8966 0.5182
0.7037 0.3647 0.8966 0.5185
0.7037 0.3651 0.8967 0.5189
0.7037 0.3654 0.8968 0.5192
0.7037 0.3654 0.8961 0.5191
0.7037 0.3657 0.8962 0.5194
0.7037 0.3660 0.8962 0.5198
0.7037 0.3664 0.8963 0.5201
0.7037 0.3667 0.8964 0.5205
0.7037 0.3670 0.8965 0.5208
0.7037 0.3670 0.8958 0.5207
0.7037 0.3673 0.8959 0.5210
0.7037 0.3677 0.8959 0.5214
0.7037 0.3680 0.8960 0.5217
0.7037 0.3683 0.8961 0.5221
0.7037 0.3686 0.8962 0.5224
0.7037 0.3690 0.8963 0.5227
0.7037 0.3693 0.8964 0.5231
0.7037 0.3696 0.8964 0.5234
0.7037 0.3699 0.8965 0.5238
0.7037 0.3703 0.8966 0.5241
0.7037 0.3706 0.8967 0.5244
0.7037 0.3709 0.8968 0.5248
0.7037 0.3713 0.8969 0.5251
0.7037 0.3716 0.8969 0.5255
0.7037 0.3719 0.8970 0.5258
0.7037 0.3722 0.8971 0.5261
0.7037 0.3726 0.8972 0.5265
0.7037 0.3729 0.8973 0.5268
0.7037 0.3732 0.8973 0.5272
0.7037 0.3735 0.8974 0.5275
0.7037 0.3739 0.8975 0.5278
0.7037 0.3742 0.8976 0.5282
0.7037 0.3745 0.8977 0.5285
0.7037 0.3748 0.8977 0.5289
0.7037 0.3752 0.8978 0.5292
0.7037 0.3755 0.8979 0.5295
0.7037 0.3758 0.8980 0.5299
0.7037 0.3761 0.8981 0.5302
0.7037 0.3765 0.8981 0.5305
0.7037 0.3765 0.8974 0.5304
0.7037 0.3768 0.8975 0.5308
0.7037 0.3771 0.8976 0.5311
0.7037 0.3774 0.8977 0.5314
0.7037 0.3778 0.8978 0.5318
0.7037 0.3781 0.8978 0.5321
0.7037 0.3784 0.8979 0.5324
0.7037 0.3787 0.8980 0.5328
0.7037 0.3791 0.8981 0.5331
0.7037 0.3794 0.8981 0.5335
0.7037 0.3797 0.8982 0.5338
0.7037 0.3801 0.8983 0.5341
0.7037 0.3804 0.8984 0.5345
0.7037 0.3807 0.8985 0.5348
0.7037 0.3810 0.8985 0.5351
0.7037 0.3814 0.8986 0.5355
0.7037 0.3817 0.8987 0.5358
0.7037 0.3817 0.8980 0.5357
0.7037 0.3820 0.8981 0.5360
0.7037 0.3823 0.8982 0.5364
0.7037 0.3827 0.8982 0.5367
0.7037 0.3830 0.8983 0.5370
0.7037 0.3833 0.8984 0.5374
0.7037 0.3833 0.8977 0.5372
0.7037 0.3836 0.8978 0.5376
0.7037 0.3840 0.8979 0.5379
0.7037 0.3840 0.8972 0.5378
0.7037 0.3843 0.8973 0.5381
0.7037 0.3846 0.8973 0.5384
0.7037 0.3849 0.8974 0.5388
0.7037 0.3853 0.8975 0.5391
0.7037 0.3856 0.8976 0.5394
0.7037 0.3856 0.8969 0.5393
0.7037 0.3859 0.8970 0.5397
0.7037 0.3862 0.8970 0.5400
0.7037 0.3866 0.8971 0.5403
0.7037 0.3869 0.8972 0.5407
0.7037 0.3872 0.8973 0.5410
0.7037 0.3875 0.8974 0.5413
0.7037 0.3879 0.8974 0.5416
0.7037 0.3879 0.8968 0.5415
0.7037 0.3882 0.8968 0.5419
0.7037 0.3885 0.8969 0.5422
0.7037 0.3889 0.8970 0.5425
0.7037 0.3892 0.8971 0.5429
0.7037 0.3895 0.8971 0.5432
0.7037 0.3898 0.8972 0.5435
0.7037 0.3902 0.8973 0.5438
0.7037 0.3905 0.8974 0.5442
0.7037 0.3908 0.8975 0.5445
0.7037 0.3911 0.8975 0.5448
0.7037 0.3915 0.8976 0.5452
0.7037 0.3918 0.8977 0.5455
0.7037 0.3918 0.8970 0.5454
0.7037 0.3921 0.8971 0.5457
0.7037 0.3924 0.8972 0.5460
0.7037 0.3928 0.8972 0.5464
0.7037 0.3931 0.8973 0.5467
0.7037 0.3934 0.8974 0.5470
0.7037 0.3937 0.8975 0.5473
0.7037 0.3941 0.8976 0.5477
0.7037 0.3944 0.8976 0.5480
0.7037 0.3947 0.8977 0.5483
0.7037 0.3950 0.8978 0.5487
0.7037 0.3954 0.8979 0.5490
0.7037 0.3957 0.8979 0.5493
0.7037 0.3960 0.8980 0.5496
0.7037 0.3963 0.8981 0.5500
0.7037 0.3967 0.8982 0.5503
0.7037 0.3970 0.8982 0.5506
0.7037 0.3973 0.8983 0.5510
0.7037 0.3977 0.8984 0.5513
0.7037 0.3980 0.8985 0.5516
0.7037 0.3983 0.8985 0.5519
0.7037 0.3983 0.8979 0.5518
0.7037 0.3986 0.8979 0.5521
0.7037 0.3990 0.8980 0.5525
0.7037 0.3993 0.8981 0.5528
0.7037 0.3996 0.8982 0.5531
0.7037 0.3999 0.8982 0.5535
0.7037 0.4003 0.8983 0.5538
0.7037 0.4006 0.8984 0.5541
0.7037 0.4009 0.8985 0.5544
0.7037 0.4012 0.8985 0.5548
0.7037 0.4016 0.8986 0.5551
0.7037 0.4019 0.8987 0.5554
0.7037 0.4022 0.8988 0.5557
0.7037 0.4025 0.8988 0.5561
0.7037 0.4029 0.8989 0.5564
0.7037 0.4032 0.8990 0.5567
0.7037 0.4035 0.8991 0.5570
0.7037 0.4038 0.8991 0.5574
0.7037 0.4042 0.8992 0.5577
0.7037 0.4045 0.8993 0.5580
0.7037 0.4048 0.8993 0.5583
0.7037 0.4051 0.8994 0.5587
0.7037 0.4055 0.8995 0.5590
0.7037 0.4058 0.8996 0.5593
0.7037 0.4061 0.8996 0.5596
0.7037 0.4065 0.8997 0.5599
0.7037 0.4068 0.8998 0.5603
0.7037 0.4071 0.8999 0.5606
0.7037 0.4074 0.8999 0.5609
0.7037 0.4078 0.9000 0.5612
0.7037 0.4081 0.9001 0.5616
0.7037 0.4084 0.9001 0.5619
0.7037 0.4087 0.9002 0.5622
0.7037 0.4091 0.9003 0.5625
0.7037 0.4094 0.9004 0.5629
